Property Name,ZIP Code,Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft)
Terrace 459 at Parkside of Old Town,60610,4,NEAR NORTH SIDE,Multifamily Housing,141502,2016,1,,92,2970070.9,4217900.2,,,50.8,,,,,
Conservancy at North Park Condo I,60659,4,North Park,Multifamily Housing,54096,1995,1,,96,723176.8,2736650,,,64,,,,,
Klee Plaza at Six Corners Condominium Association,60654,4,Portage Park,Multifamily Housing,94000,2007,1,,90,1360579.4,3902699.1,,,56,,,,,
"Bank Note Place Condominium Association, Inc",60616,4,NEAR SOUTH SIDE,Multifamily Housing,161000,1902,1,,79,2821215.6,9484036.2,,,76.4,110.9,74.5,,973.1,6
AMLI Lofts Polk,60605,3.5,Loop,Multifamily Housing,201430,2014,1,6139,75,6015001.2,5388288.7,,,56.6,111.7,55.4,,1286.9,6.4
Fulton Place Condominium Association,60661,4,NEAR WEST SIDE,Multifamily Housing,115000,2006,1,,85,2292546.7,3765420,,,52.7,,,,,
"311 W. Superior, LLC",60654,3,Near North Side,Office,91304,1908,1,,65,4465376.5,2687812.2,,,78.3,167.8,76.8,,885.6,9.7
430 W. Erie LLC,,0,Near North Side,,,,,,,,,,,,,,,,
(IL047) - 4900 Marine Drive Condo,60640,4,Uptown,Multifamily Housing,126423,1948,1,,88,1411889,7330052,,,69.1,92.1,68.4,,624.2,4.9
400 West Erie,,0,Near North Side,,,,,,,,,,,,,,,,
820 N Orleans St,,0,Near North Side,,,,,,,,,,,,,,,,
Lincoln Lofts Condominium Association,60657,4,Lake View,Multifamily Housing,179072,1936,1,,100,1500628.3,4977639.1,,,36.2,52.7,35.1,,514,2.9
PAC Lofts,60622,2,West Town,Multifamily Housing,110567,2006,1,,45,3061359,7112334.6,,,92,145.1,89.1,,887.1,8
Glenmoor Manor,60660,4,Edgewater,Multifamily Housing,54816,1969,1,,95,620243.6,2314656.1,,,53.5,76,52.2,,226.1,4.1
(IL192) -2500 Lakeview Association,60614,2,Lincoln Park,Multifamily Housing,233410,1975,1,,12,13295472.2,5126306.6,,,78.9,182.6,77.7,,2484.2,10.6
Map Factory Lofts,60640,4,Edgewater,Multifamily Housing,53903,1890,1,,98,614426.1,1291323.6,,,35.4,57.1,34.3,,170.8,3.2
Acorn Loftominium Association,,0,Near West Side,,,,,,,,,,,,,,,,
The Pierre Condominium,60614,4,Lincoln Park,Multifamily Housing,230594,1916,1,,97,2382275.5,12059809,,,62.6,83.8,62,,1036.9,4.5
(IL287) - The Robey,60640,3.5,North Center,Multifamily Housing,126620,2006,1,,55,3368292.3,5949979.2,,,73.6,123.8,72.4,,876.4,6.9
(IL508) - 2700 Club Condo,60614,4,Lincoln Park,Multifamily Housing,85536,2002,1,,99,1165870.2,2893422.6,,,47.5,73.7,46.4,,347.6,4.1
Hyde Park Courtway,60615,4,Kenwood,Multifamily Housing,69540,1920,1,,85,405912,4414262.1,,,69.3,,,,,
Maple Court Apartments,60615,1,Kenwood,Multifamily Housing,50760,1915,1,,8,431935.3,7326399.9,,,152.8,,,,,
824 West Superior Condominium Assocation,60642,1.5,West Town,,,,,,36,2004805.9,4841899.1,,,103.7,162.1,101,,,
Sheridan Grande Condominium Association,,0,Uptown,,,,,,,,,,,,,,,,
Ellis Street Apartments,60615,4,Kenwood,Multifamily Housing,62352,1922,1,,65,337446.8,5843600,,,99.1,,,,,
North Park Village Apartments - Building G,60646,,North Park,,,,,,,6619481.3,9216763.5,,,82.7,147.3,81.3,,,
North Park Village Apartments - Building E,60646,,North Park,,,,,,,1929905.7,2579056.4,,,80.7,145.2,79.4,,,
220 E Walton Pl,60611,,Near North Side,Multifamily Housing,73000,1919,1,,,1222789.1,4453148.1,,,77.8,,,,,
The Gallery on Wells,,0,Near North Side,,,,,,,,,,,,,,,,
Olympia Lofts Condominium Association,60607,4,Near West Side,Multifamily Housing,104076,1899,1,,81,1620362.2,5056744,,,64.2,,,,,
Gateway West Loop Apartments,60607,1.5,Near West Side,Multifamily Housing,133879,2015,1,3422,35,5384040.5,6536360,,,89,163.9,87.7,,1242.9,9.3
Mercy Housing Lakefront?s Englewood Apartments,60621,3.5,Englewood,Multifamily Housing,62800,2010,1,,75,2321821.6,1364190.6,,,58.7,,,,,
Warren Ashland Place,,0,Near West Side,,,,,,,,,,,,,,,,
Reside by Irving Park,60613,4,Lake View,Multifamily Housing,63000,1923,1,1470,99,905930.4,1101649.1,,,31.9,58.6,31.6,,209.2,3.3
(IL659) - Willow Square (Bldg. 1),60647,4,West Town,Multifamily Housing,89816,1928,1,,87,2218628.4,788583.5,,,33.5,78.4,33.1,,411,4.6
Catholic Charities: Porta Coeli Senior Housing,60617,3,South Deering,Multifamily Housing,79039,2015,1,1742,46,1942571,3189948.5,,,64.9,111.2,65.8,,492.6,6.2
Sheridan Shore Courts Condominium Association,60626,3,Rogers Park,Multifamily Housing,80078,1920,1,,63,640507.5,6329599.4,,,87,,,,,
"North Center Senior Housing, NFP (St. Vincent DePaul Residence)",60618,4,North Center,Multifamily Housing,84762,2007,1,3054,83,1831442.2,3189948.5,,,59.2,100,59,,474.1,5.6
Archer Place Condo Association,60616,4,Armour Square,,,,,,92,1801730.5,2416742.8,,,60.5,108.7,58.9,,,
Ainslie Park Condominium Association,60640,4,Uptown,Multifamily Housing,52760,1923,1,,77,1903432,1137936.6,,,57.6,,,,,
Sabina Senior Housing Corporation (St. Sabina Elders Village),60620,4,Auburn Gresham,Multifamily Housing,77400,2000,1,4047,88,1457729.2,2967393.4,,,57.2,93,56.9,,400.1,5.2
Catholic Charities: St. Leo Residence,60620,1.5,Auburn Gresham,Multifamily Housing,65632,2006,1,4834,36,2149945.2,5230039.6,,,112.4,175.4,112.1,,635.5,9.7
Farcroft by the Lake,60626,2,Rogers Park,Multifamily Housing,115362,1928,1,,24,2732455.8,9111495.6,,,102.7,,,,,
1400 State Parkway Condominium Association,60610,1,Near North Side,Multifamily Housing,95000,1962,1,,5,2068709.2,12757489.2,,,156.1,,,,,
1500 N Clybourn Ave,60642,2,Near North Side,Other,515537,2015,4,16971,,59048140.2,7036109.6,,,128.2,335,127.7,,10197.2,19.8
North Center Senior Housing - The Martha Washington,60618,1,North Center,Multifamily Housing,103162,2005,1,,17,1927022.5,8431199.9,,,100.4,,,,,
The Churchill Condominium Association,60610,2.5,Near North Side,Multifamily Housing,110000,1923,1,,54,2002376.6,5639511.5,,,69.5,,,,,
2 South Leavitt Condominium Association,60612,4,NEAR WEST SIDE,Multifamily Housing,55000,2008,1,,63,979793.3,2103094.6,,,56.1,,,,,
Park Douglas Apartments,60608,4,North Lawndale,Multifamily Housing,67800,2011,1,,77,1035603.4,3353275.8,,,64.7,94.7,64.4,,350.4,5.2
The Montrevelle Condominium Association,60642,1,West Town,,,,,,24,3493758.3,6924063.8,,,94.8,155.1,93,,,
Haymarket Center,60607,,Near West Side,Residential Care Facility,150000,1890,1,,,7281999.6,7846057.7,,,100.9,,,,,
Safer Foundation,60624,2,East Garfield Park,Prison/Incarceration,127263,1899,1,,,3906695.6,9162158.8,,,102.7,161.5,99.9,,1136.6,8.9
University Village Lofts,60608,4,Near West Side,Multifamily Housing,252097,2003,2,,92,5150929.2,8476870,,,54.1,,,,,
6700 Crandon Condominium Association,60649,1,South Shore,Multifamily Housing,82000,1928,1,,17,847080.2,12088229.6,,,157.7,,,,,
Prairie Ave Lofts,60616,3,Near South Side,Multifamily Housing,182450,1910,1,,64,4470207.9,8580233,,,71.5,118,69.7,,1199.4,6.6
The Lofts at 1800 Condominium Association,60613,1.5,North Center,Multifamily Housing,181852,2009,1,,40,3305419,8133614.7,,,62.9,,,,,
1345 South Wabash Condominium,60605,4,Near South Side,Multifamily Housing,175500,2015,1,,77,3365159.7,8121610.7,,,65.5,,,,,
1515 S Michigan Condominium Association,60605,3.5,Near South Side,Multifamily Housing,61861,1997,1,,76,1321252.6,2744139.7,,,65.7,,,,,
Hedgerow Condominium Association,,0,Hyde Park,,,,,,,,,,,,,,,,
Union Lofts Condominium Association,,0,Bridgeport,,,,,,,,,,,,,,,,
Lincoln Point Condominiums,60659,4,West Ridge,,,,,,91,836079.9,2634870.6,,,69.4,102.2,67.3,,,
Green Street Lofts,60607,4,Near West Side,Multifamily Housing,120000,1890,1,,81,2725048.4,4236969.7,,,58,,,,,
Blue Moon Lofts,60607,4,NEAR WEST SIDE,Multifamily Housing,83000,1908,1,,100,1524836.4,964234.8,,,30,63.6,29.3,,304.9,3.7
2007 N Sedgwick Condominium Association,60614,2.5,Lincoln Park,Multifamily Housing,50000,1978,1,,51,2180278.6,,,,43.6,,,,,
JeffJack Apartments,60661,3,Near West Side,Multifamily Housing,195769,2015,1,,45,7107898.9,7900430.2,,,76.7,,,,,
North Water Apartments & Loews Chicago Hotel,60611,4,Near North Side,Multifamily Housing,858191,2015,1,,97,28104391.5,,,,32.7,91.7,,,4675.6,5.4
South Commons - 3021 S Michigan,60616,3.5,Douglas,Multifamily Housing,67133,1964,1,,79,965118.3,5812802.6,,,101,131.2,100.1,,469.3,7
Metro North Condominium Association,,0,North Center,,,,,,,,,,,,,,,,
The Gwen,60611,2.5,Near North Side,Hotel,360000,1999,1,9128,58,19115211.4,6584290.1,,7788576.3,93,187.6,92.3,,3940.3,10.9
Drexel Towers,60615,4,Kenwood,Multifamily Housing,71000,1970,1,,86,1125219.6,5792796,,,97.4,,,,,
Catalyst,60661,2.5,Near West Side,Multifamily Housing,255042,2014,1,7608,51,7541089.8,10893811.5,,,72.3,127.6,71.2,,1833.2,7.2
South Commons - 3041 S Michigan,60616,2.5,Douglas,Multifamily Housing,67133,1964,1,,53,1125847.4,5864821.2,,,104.1,138.7,103,,498.8,7.4
5556 North Sheridan Condominium Association,60640,4,Edgewater,,,,,,95,1409657.6,4102666.3,,,50.1,75,49.3,,,
,60605,0,NEAR SOUTH SIDE,,131640,,,,,,,,,,,,,,
350 W Belden,60614,4,Lincoln Park,Multifamily Housing,140220,1955,1,,92,2631030.7,2839660.2,,,39,,,,,
Powell Paideia Elementary,,0,South Shore,,,,,,,,,,,,,,,,
3400 Lake Shore Drive Condominium,60657,4,Lake View,,,,,,94,3291122.4,8558845.6,,,61.2,94,59.8,,,
Residences at the VIC,,0,Lake View,,,,,,,,,,,,,,,,
Clinton Complex Condominium Association,,0,Near West Side,,,,,,,,,,,,,,,,
Columbus on the Park Condominium Association,,0,Near West Side,,,,,,,,,,,,,,,,
South Commons,60616,1.5,Douglas,Multifamily Housing,182246,1964,1,,40,2966044.8,17506433.4,,,112.3,146.4,111.3,,1423.3,7.8
Forty East Delaware Place Condominium Association,60611,1,Near North Side,Multifamily Housing,136000,1924,1,,27,6041447.6,1796320.8,,,57.6,,,,,
Town Hall,60613,1.5,Lake View,Multifamily Housing,92072,2014,1,2711,35,2719394.7,4139680.4,,,74.5,129.9,74.1,,672.3,7.3
Archer Building Lofts Condominium Association,60616,4,Armour Square,Multifamily Housing,99000,2000,1,,90,1742447,4211216.9,,,60.1,,,,,
Astor Villa Condominium Association,60610,3.5,Near North Side,Multifamily Housing,111150,1976,1,,56,4722856.3,1311741,,,54.3,,,,,
Damen Marketplace,,0,Lower West Side,,,,,,,,,,,,,,,,
Swartberg House,60645,3,West Ridge,Multifamily Housing,83680,1980,1,3536,61,1364933.1,5603429.5,,,83.3,116,82.4,,524.7,6.3
Senior Suites of Norwood Park,60631,2,Norwood Park,Senior Care Community,93678,2015,1,,49,3107871.4,3185500.2,,,67.2,,,,,
Bethany Methodist Communities,60640,4,Uptown,Hospital (General Medical & Surgical),174310,1948,1,,81,12794532.6,27816599.9,,,233,373.1,229.6,,3474.3,19.9
5114 N Christiana Ave.,60625,4,North Park,College/University,73000,2000,1,,,3500333.3,1718630.2,,,71.5,159,71,,673.6,9.2
Johnson Center for Science and Community Life,60625,2,North Park,College/University,101000,2014,1,,,5209472.3,6051729.8,,,111.5,207.3,109.4,,1188.1,11.8
Helwig Recreation Center,60625,4,Albany Park,College/University,65850,2006,1,,,2964761.9,950870,,,59.5,141.2,58.7,,543.7,8.3
6430 N Kenmore Ave,60626,4,Rogers Park,Office,53500,2012,1,1,78,1620934.4,1395099.9,,,56.4,112.2,55,,343.8,6.4
Gentile Arena,60626,2,Rogers Park,College/University,107304,2013,1,2,,6987370,6933408.1,,,129.7,250.2,129.3,,1530.7,14.3
1125 W Loyola Ave,60626,2,Rogers Park,Residence Hall/Dormitory,255286,1962,2,10,,6986182.6,16085515.5,,,90.4,142.8,89.9,,2016.6,7.9
1 11 E Pearson Ave,60611,1.5,Near North Side,Office,55056,1980,1,0,33,2923639.4,3101469.9,,,109.4,207.8,108.3,,651.1,11.8
Cudahy Library-ID#254164,60626,3,Rogers Park,Library,124285,1930,1,1,,6780691.5,4392448.9,,,89.9,189.9,87.2,,1361.4,11
Campion Hall-ID# 254165,60626,3.5,Rogers Park,Residence Hall/Dormitory,80742,1970,1,4,56,2443600,6426100.1,,,109.9,168.3,108.6,,747.8,9.3
Crown Center-ID#254166,60626,4,Rogers Park,College/University,81740,1984,1,1,,3582709.2,3614999.9,,,88.1,169.2,85.9,,788,9.6
6333 N Winthrop Ave,60626,2,Edgewater,Residence Hall/Dormitory,117481,1991,1,4,,5785288.3,9730399.6,,,132.1,224.9,130.8,,1479.3,12.6
1050 W  Sheridan,60660,,Rogers Park,Other - Education,139554,2004,1,3656,,14578732.2,10958660,,,183,375,182.5,,3007.4,21.6
DiNobili Hall-ID#254169,60626,2,Edgewater,Residence Hall/Dormitory,73000,2013,1,3,30,3648424.3,6322861.1,,,136.6,230.9,136,,942.8,12.9
San Francisco Hall-ID# 254170,60626,3.5,Edgewater,Residence Hall/Dormitory,92000,2013,1,2,74,4222711.7,328809.7,,,49.5,132.3,48.6,,720,7.8
6526 N Winthrop,60626,2,Rogers Park,College/University,127500,2011,2,2,,6594996.8,7814099.6,,,113,209.2,110.2,,1512.2,11.9
Regis Hall-ID#254172,60626,4,Edgewater,Residence Hall/Dormitory,122000,2005,1,7,67,3604621,6963661,,,86.6,142.7,85.6,,969.6,7.9
Sullivan Station Apartments,,0,Oakland,,,,,,,,,,,,,,,,
Workshop 4200,60639,,Hermosa,Other,141071,1941,1,,,3720861.1,8350302.4,,,85.6,,,,,
International House,60637,3.5,Hyde Park,Residence Hall/Dormitory,237121,1932,1,,80,3341675.6,,16147655.6,556200,84.5,123.5,83.2,,1623,6.8
Ray and Joan Kroc Corps Community Center,,0,West Pullman,,,,,,,,,,,,,,,,
Oakdale Terrace,60657,3,Lake View,Multifamily Housing,67078,1973,1,,66,1383003,5728100.1,,,106,147.4,104.7,,534.3,8
Adele and Robert Stern Red Shield Center,60621,2,Englewood,Mixed Use Property,50000,2006,1,,,2259955.3,3917629.8,,,123.6,208.8,121.3,,584.1,11.7
North Washington Park Manor,60615,3.5,Grand Boulevard,Multifamily Housing,53200,1985,1,,76,1023647.8,2686683.9,,,69.7,106.9,69,,313,5.9
The Cenacle Convent,60614,1,Lincoln Park,,,,,,11,3218785.3,6927962.3,,,104.6,167.9,103.1,,,
Pencil Factory Lofts,,0,North Center,,,,,,,,,,,,,,,,
Sunnycourt Condominiums,60640,2,Uptown,Multifamily Housing,75600,1926,1,,42,720194.7,6776164.3,,,99.2,,,,,
Brompton,,0,Lake View,,,,,,,,,,,,,,,,
Old Town Midrise Condo,60610,4,Near North Side,Multifamily Housing,90500,2002,1,,97,2116818.4,3042549.1,,,57,,,,,
Kindred Hospital Chicago North,60618,3,Lincoln Square,Other - Specialty Hospital,148775,2000,1,7824,,12097914.8,18793138.7,,,207.6,360.3,204.5,,3010.9,20.2
Buck City Lofts,60647,1.5,Logan Square,Multifamily Housing,95000,2001,1,,32,2755742.7,5319604.8,,,85,140,83.1,,741,7.8
3125 W Fullerton,60610,4,Logan Square,,,,,,96,2701256.5,4332798,,,45.4,78.1,44.8,,,
901 South Plymouth Condominium Association,60605,2,Loop,,,,,,48,6308443.4,5089473,,,70.5,142.3,69.5,,,
3110 Sheridan Condominiums,,0,Lake View,,,,,,,,,,,,,,,,
The Apex Condominium Association,60610,4,West Town,Multifamily Housing,86457,2004,1,,92,1622426.5,3038601.6,,,53.9,89.4,52.7,,431.3,5
Alden Estate of Northmoor,60631,1,Norwood Park,Senior Care Community,83872,1994,1,,7,6558713.6,10155208.1,,,199.3,346.1,198.5,,1630.5,19.4
Alden Princeton Rehab & Health Care Center,60621,1,Greater Grand Crossing,Senior Care Community,80040,1990,1,,17,3900526.7,9145690.1,,,163,256.4,159.6,,1134.7,14.2
Morgan Park Sports Center,,0,Morgan Park,,,,,,,,,,,,,,,,
Malcolm X College & School of Health Sciences,,0,Near West Side,,,,,,,,,,,,,,,,
1000 South Clark,60605,4,Loop,Multifamily Housing,445666,2016,3,,66,13496224,15511834.4,,,65.1,121.3,64.3,,3069.2,6.9
1116 W ADAMS ST,60607,2,Near West Side,Multifamily Housing,155000,2015,1,,47,4160019.6,3074306.4,,,46.7,96,45.6,,855.4,5.5
1245 West Jackson Place,60607,0,Near West Side,Multifamily Housing,115615,2000,1,,,,,,,,,,,,
Fourth Presbyterian Church,60611,1,Near North Side,Worship Facility,160000,1912,1,,10,7930023.7,7411192.8,,,95.9,187.4,95.5,,1712.9,10.7
1415 N KINGSBURY ST,,0,Near North Side,,,,,,,,,,,,,,,,
Schreiber Center,60661,4,Near North Side,College/University,126000,2016,1,2,,2994831.1,3249601.7,,,49.6,93.6,48.5,,670.8,5.3
"British International School of Chicago, South Loop",,0,Loop,,,,,,,,,,,,,,,,
Casa Queretaro,60608,2.5,Near West Side,Multifamily Housing,52913,2016,1,,58,1043410.1,2929537.9,,,75.1,113.3,73.8,,329.2,6.2
WhirlyBall,60614,,Logan Square,Other - Recreation,50297,2014,1,,,2320743.5,2802724.2,,,101.9,,,,,
Lycee Francais de Chicago,60640,3,Lincoln Square,K-12 School,86434,2015,1,,70,3038235.9,4078657.7,,,82.3,148,81.5,,722.1,8.4
Mila Chicago,60601,4,Loop,Multifamily Housing,514060,2016,1,,89,11010135,14581705,,,49.8,,,,,
Fox Ford Lincoln Chicago,60647,3,Logan Square,Automobile Dealership,146000,2015,1,,,7546241.9,7050106.5,,,100,195.4,97,,1629.9,11.2
Hyatt Place Chicago,60606,3.5,Loop,Hotel,142321,2015,1,,53,5540262.3,11856799.6,,,122.2,,,,,
Wolf Point West,,0,Near North Side,,,,,,,,,,,,,,,,
GEMS World Academy Chicago,60601,4,Loop,K-12 School,80500,2014,1,,100,25358.5,39427.7,,255876,4,4.3,4,,,
Shirley Ryan AbilityLab,60611,4,Near North Side,Hospital (General Medical & Surgical),877895,2016,1,,96,56164966.1,103851566.1,,,182.3,,,,,
Therapeutic Youth Home,,0,North Lawndale,,,,,,,,,,,,,,,,
Mercy Circle,60655,4,Mount Greenwood,Residential Care Facility,146922,2013,1,,,5976315.9,4673064.7,,,72.5,147.3,71.5,,1242.5,8.5
Park Boulevard IIB,60609,4,Douglas,Multifamily Housing,86000,2015,4,,99,831832,3966516.1,,,55.8,,,,,
Lawndale Christian Health Center,60623,,North Lawndale,Mixed Use Property,64779,2012,1,,,3582521.5,1494203.5,,,78.4,,,,,
North & Pulaski Apartments,60647,1.5,Humboldt Park,Multifamily Housing,75000,2014,1,3066,34,2339489.3,3789669.5,,,81.7,140.4,80.8,,590.5,7.9
G & A Senior Residence at Kedzie,60618,2,Irving Park,Multifamily Housing,50181,2015,1,,15,676273.1,5279394.9,,,118.7,,,,,
Pulaski Promenade,60632,4,Archer Heights,Lifestyle Center,122764,2016,2,,,5205889.7,1602611.9,,,55.5,132.4,54.8,,951.2,7.7
Moving Everest Charter School,,0,Austin,,,,,,,,,,,,,,,,
Cicero & George,60641,2,Belmont Cragin,Multifamily Housing,76764,2016,1,2176,45,3066341.2,1051149.1,,,53.6,126.2,53.6,,566,7.4
Darul Amaan Senior Living,,0,Albany Park,,,,,,,,,,,,,,,,
City Hyde Park,60615,4,Hyde Park,Multifamily Housing,367910,2015,1,,86,8577962.5,17420600,,,70.7,,,,,
Campus Residential North Commons,60637,3,Hyde Park,Residence Hall/Dormitory,419219,2016,1,,66,12391261.5,20881999.1,,8750027.8,100.2,154.1,99.5,,3504.2,8.4
William Eckhardt Research Center,60637,1,Hyde Park,Laboratory,284391,2015,1,,,40802743.2,,56984843.1,55701373.3,539.7,821,538.3,,13087.2,46
The Sonia Shankman Orthogenic School,60637-2890,2.5,Woodlawn,K-12 School,74910,2014,1,,60,2703060.2,3962196.4,,,89,,,,,
"Ambulatory Care Center, St. Bernard Hospital",60621,2.5,Englewood,,,,,,60,4092741.8,2305627.3,,,96,208.3,95.2,,,
Halas Recreation Center,60626,2,Rogers Park,College/University,122180,1982,1,1,,5555473,6756129.2,,,100.8,185.4,100.3,,1283.1,10.5
The Hensley,60654,1,Near North Side,Multifamily Housing,90344,2016,1,,18,3429121.4,5067414,,,94,165.2,93.1,,839.6,9.3
Eight O Five,60610,1,Near North Side,Multifamily Housing,270163,2015,1,9107,29,9712155.6,13532330.9,,,86,153.3,84,,2234.5,8.3
Salvation Army Freedom Center,60651,2.5,Humboldt Park,Residence Hall/Dormitory,184000,2015,1,,52,8109198,11199261.9,,,104.9,187.3,103.6,,1943.9,10.6
Haberdasher Square Lofts,60661,2.5,NEAR WEST SIDE,Multifamily Housing,420684,1927,2,,59,9314889.7,20043420.9,,,69.8,112,69,,2614.3,6.2
NEXT,60610,2,Near North Side,,,,,,13,18049486.8,12990103.3,,,74.4,153.9,74.2,,,
Xavier Apartments,60610,4,Near North Side,Multifamily Housing,232582,2015,1,6747,66,7474016.7,7170037.8,,,63,122.3,62.5,,1624.2,7
(IL659) - Willow Square (Bldg. 4),60647,4,WEST TOWN,Multifamily Housing,78210,1940,1,,93,1553907.4,2451319,,,51.2,88.5,50,,388.7,5
Strand Apartments,60637,4,WOODLAWN,Multifamily Housing,87275,2015,1,,99,1287484.1,1724603.5,,,34.5,,,,,
Prairie District Lofts Condominium Association,60616,3,NEAR SOUTH SIDE,Multifamily Housing,175000,1908,1,,65,3650764.9,7652626.1,,,64.6,,,,,
Niche 905,60610,1,Near North Side,Multifamily Housing,178398,2017,1,,26,7402395.4,9127583.2,,,92.7,,,,,
Optima Signature Apartments,60611,4,Near North Side,Multifamily Housing,872200,2017,1,,93,18777440.4,15406978,,,39.2,,,,,
Glen Lake 1 Condo Assoc.,60634,4,DUNNING,Multifamily Housing,432630,1996,5,,87,5531647,24032408.4,,,68.3,94.1,67.2,,2196.7,5.1
Merrimac Square III,,0,DUNNING,,,,,,,,,,,,,,,,
Moment Chicago,60611,3.5,Near North Side,Multifamily Housing,733333,2016,1,8049,71,22588678.6,11623654.8,,,46.7,102.9,45.9,,4375.3,6
Madison Aberdeen,,0,NEAR WEST SIDE,,,,,,,,,,,,,,,,
Aurelien,60610,3,Near North Side,Multifamily Housing,386150,2017,1,,66,11105868.9,12221404.1,,,60.4,,,,,
Sherwin Sheridan LLC,60626,3,ROGERS PARK,Multifamily Housing,99500,1950,1,4037,41,582322.6,8379199.8,,,90.1,104.8,89.2,,541.9,5.4
Centrum Wicker Park,60622,1,West Town,Multifamily Housing,70434,2016,1,,19,2850749.9,3028750.3,,,83.5,,,,,
Carriage House,60605,3,NEAR SOUTH SIDE,,,,,,70,2139441.7,8224760.6,,,77.6,109.6,75.3,,,
Mercy Family Health Center at Oakwood Shores,60653,3,Oakland,Multifamily Housing,73000,2013,1,2808,44,2797453.1,4466710.4,,,99.5,171.5,97.9,,702.6,9.6
Former Coyne College,,,NEAR WEST SIDE,,,,,,,,,,,,,,,,
Sedgwick at Locust,60610,3.5,Near North Side,Multifamily Housing,91500,2017,1,,72,1615585.4,4066550.8,,,62.1,96.1,60.8,,484.8,5.3
Whole Foods,60657,2,Lake View,Supermarket/Grocery Store,82147,2017,1,,45,13399589.3,9819898.9,,,282.7,,,,,
The Park at Wrigley,60613,2,Lake View,Office,247887,2017,1,,1,47152372.8,3323137,,,203.6,546.7,203.6,,8021,32.4
MiCA,60622,3.5,Logan Square,Multifamily Housing,205408,2016,2,,58,5964152.1,8110735.2,,,68.5,,,,,
ONE 333,60605,1,Near South Side,Multifamily Housing,266179,2016,1,,30,10304318.5,13150139.4,,,88.1,,,,,
1325 N WELLS ST,60610,3,Near North Side,Multifamily Housing,50121,2018,1,,68,868354,2710589.4,,,71.4,105.3,69.6,,288.4,5.8
434 W MELROSE ST,,0,Lake View,,,,,,,,,,,,,,,,
Depaul University Holtschneider Performance Center,60614,,Lincoln Park,,,,,,,6404552.6,13011937.1,,,105,170.8,104.1,,,
400 West Huron Condominium Association,60654,1,Near North Side,,,,,,2,3975706.8,6422114.6,,,132.9,228.4,130.8,,,
Homewood Suites by Hampton Inn,60661,4,Near West Side,Hotel,332424,2016,1,6901,98,9105710.2,6164905.2,,,45.9,96.2,45.2,,1842.3,5.5
4 E Elm Condos,60611,3,Near North Side,Multifamily Housing,195383,2016,1,,66,6000858.4,5800599.8,,,60.4,,,,,
Fletcher Jones Chicago Service (Audi),60642,1,West Town,Automobile Dealership,55030,2015,1,,,4821974.9,1234277.9,,,110.1,268.9,109.5,,867.8,15.8
Linkt Apartments,,0,West Town,,,,,,,,,,,,,,,,
Exhibit on Superior,,0,Near North Side,,,,,,,,,,,,,,,,
2950 North Sheridan,60657,4,Lake View,Multifamily Housing,135460,2017,1,,66,5053441.5,4901510,,,73.5,,,,,
Mariano's,60653,1.5,Douglas,Supermarket/Grocery Store,72115,2016,1,,32,9614538.3,12099614.1,,,301.1,549.5,298.7,,2242.2,31.1
"L - Logan Square Apartment Community 
Navigator Taproom",,0,Logan Square,,,,,,,,,,,,,,,,
IIT,60616,4,Douglas,College/University,71586,2018,1,,,,3417332.2,,,47.7,50.1,46.5,,181.5,2.5
Luxe on Chicago,60622,2,West Town,Multifamily Housing,69648,2016,6,,13,2400751.8,4017393.6,,,92.2,,,,,
Wells Place,,0,Loop,,,,,,,,,,,,,,,,
3030 N BROADWAY,60657,1,Lake View,Enclosed Mall,131748,2016,1,,,19349834.1,10479935.6,,,226.4,494.8,224.6,,3775.8,28.7
The Hudson,60654,3.5,Near North Side,Multifamily Housing,294540,2017,1,,51,11367207.7,7730910.2,,,64.8,135.6,63.6,,2301.7,7.8
Fletcher Jones Audi,60642,,West Town,Automobile Dealership,243000,2016,1,,,10590046.2,9647991.2,,,83.3,,,,,
Hampton Inn Chicago North-Loyola Station,,0,Rogers Park,,,,,,,,,,,,,,,,
Vue53,60615,4,Hyde Park,,,,,,74,7568474.5,12128362.1,,,70,120.5,69.1,,,
Kenect Chicago,60642,2,West Town,Multifamily Housing,125549,2018,1,,10,7129077.2,5342500.1,,,99.3,203.7,98,,1469.8,11.7
The Albert/EMC2,60611,2,Near North Side,,,,,,48,6186658.9,6798994.2,,,111.9,210.9,110.5,,,
The Parker Fulton Market,60661,2.5,Near West Side,Multifamily Housing,252504,2016,1,,56,9418505.3,7289481.2,,,66.2,,,,,
The Montclare Supportive Living Community,60623,4,North Lawndale,Senior Care Community,83851,2017,1,,98,2259529.8,3001364.4,,,62.7,113,62.4,,535.3,6.4
Midway Pointe Senior Residences,,0,Garfield Ridge,,,,,,,,,,,,,,,,
Ace Hotel Chicago,60607,1,Near West Side,Hotel,128451,2017,1,,11,12833115.5,9256112,,,172,355.4,169.8,,2626.6,20.4
